ISBE Name,Latitude,Longitude
Esmond Elem School,41.8855286527,-87.7666260797
Everett Elem School,41.8757184103,-87.7157916041
Evergreen Academy Elem School,41.7260800211,-87.5821808893999
Evers Elem School,41.9623079615,-87.6638161965999
Fairfield Elem Academy,41.8796861539999,-87.7080913629
Falconer Elem School,41.689444885,-87.6691444201999
Faraday Elem School,41.7738817425999,-87.6969931513999
Farnsworth Elem School,41.8315545761999,-87.6813469881
Farragut Career Academy HS,41.7494030471999,-87.7210981621999
Fenger Academy High School,41.8775287339,-87.6832489541999
Fernwood Elem School,41.935785391,-87.7492938896999
Field Elem School,41.9797896794,-87.7660348842999
Finkl Elem School,41.8072410102999,-87.6612113302
Fiske Elem School,41.7111830719999,-87.6404502625999
Ford Power House Charter HS,41.8693119926999,-87.7105633272
Foreman High School,41.6899513075999,-87.6375354477
Fort Dearborn Elem School,41.847923463,-87.6966300867999
Foster Park Elem School,41.8711794585999,-87.7008560608
Franklin Elem Fine Arts Center,41.7296720889,-87.6555177861
Frazier Prep Acad Elem School,41.8670136515,-87.7263136989
Frazier Intl Magnet Elem School,41.8852126906,-87.7632855866999
Fuller Elem School,41.9066274258,-87.6355135817999
Fulton Elem School,41.7384260114,-87.6680626795999
Funston Elem School,41.8180037322999,-87.6117473613
Gage Park High School,41.7697134173999,-87.6371893711999
Galapagos Elem Charter School,41.8972855852999,-87.7219585897999
Gale Elem Community Academy,41.7975811709,-87.6683992287999
Galileo Elem Math & Sci Schol Acd,41.8605451761999,-87.7317780215
Gallistel Elem Language Academy,41.9176169982999,-87.7168549296
Garvey  M Elem School,41.8365273014999,-87.6183009625
Garvy  J Elem School,42.0211179478,-87.6719367283999
Gary Elem School,41.7068010763999,-87.5352119264999
Gillespie Elem School,41.9763519836999,-87.7962718868
Global Citizenship Elem Sch,41.8076059453999,-87.7400981239999
Goethe Elem School,41.7253316277,-87.6237560589
Gompers Elem Fine Arts Opt School,41.7606146364,-87.6759288684
Goode STEM Academy HS,41.8955535607,-87.7543204085
Goudy Elem School,41.6706183116,-87.6225090757999
Graham  A Elem School,41.6624809618,-87.5532701145999
Graham  R Training Center,41.9603631728,-87.7646999295999
Gray Elem School,41.975817005,-87.6578757241999
School of Social Justice HS,41.8045587817,-87.6244105627
Greeley Elem School,41.6573775278,-87.6064739047999
Green  W Elem School,41.9088853380999,-87.6651299935
Greene  N Elem School,41.8387910078999,-87.7171536303
Gregory Math & Sci Elem Academy,41.8113891193,-87.5985199032
Gresham Elem School,41.8296687010999,-87.671529053
Grimes Elem School,41.8707696035,-87.7186664556
Grissom Elem School,41.9228315041999,-87.6928629573999
Gunsaulus Elem Scholastic Academy,41.7389207188,-87.6449886067999
Haines Elem School,41.7754368287,-87.7588023429999
Hale Elem School,41.8130081401999,-87.6993275181
Haley Elem Academy,41.7543655977,-87.5571053283999
Hamilton Elem School,41.7801925142999,-87.7765420608999
Hamline Elem School,41.7437550054999,-87.5518251674999
Hammond Elem School,41.9451922208,-87.6708645143999
Hampton Elem Fine & Perf Arts Sch,41.7493387502,-87.6694022909999
Hancock College Preparatory HS,41.7457867051,-87.6354462756
Hanson Park Elem School,41.7345493269,-87.6192510716
Harlan Community Academy HS,41.9397961358,-87.7542032879999
Harper High School,41.7910134089,-87.6889172814999
Harte Elem School,41.8492154541999,-87.6856311485999
Harvard Elem School,41.9148156862,-87.7239678615
Haugan Elem School,41.7934198044999,-87.5868541149999
Hawthorne Elem Scholastic Academy,41.9640291808999,-87.7230912726
Hay Elem Community Academy,41.8413945263,-87.7342766391
Hayt Elem School,41.9422748936,-87.657745624
Healy Elem School,41.7733652276999,-87.5944286525
Hearst Elem School,41.7075301817,-87.6046595946999
Hedges Elem School,41.8395953763999,-87.6403040601999
Hefferan Elem School,41.8081756233,-87.7456893882
Henderson Elem School,41.8071115385,-87.6733639292999
Hendricks Elem Community Academy,41.8786920861999,-87.7358023949999
Henry Elem School,41.7905918224999,-87.6718506456
Hernandez Middle School,41.8933966307999,-87.6672864955999
Ninos Heroes Elem Academic Ctr,41.8499857524999,-87.6338070176999
Herzl Elem School,41.9589894447,-87.715595617
Hibbard Elem School,41.8623096504,-87.7182564019
Higgins Elem Community Academy,41.7753060861999,-87.7288476444999
Hinton Elem School,41.7561965021,-87.5796806471999
Hirsch Metropolitan High School,41.7183727975,-87.6205868145
Hitch Elem School,41.8097698308,-87.6722182678
Holden Elem School,41.9703077965,-87.7103610876999
Holmes Elem School,41.9836721371,-87.7791598271
Hope Inst Learning Acad ES,41.8833345924999,-87.6680761087
Hope College Prep High School,41.8526670963,-87.6636957483
Howe Elem School,41.8379999504999,-87.6537910564999
Hoyne Elem School,41.7938150868999,-87.6497960333999
Hubbard High School,41.6881643780999,-87.5375700910999
Hughes  C Elem School,41.7424520757,-87.6535968114999
Hughes L Elem School,41.7161937313,-87.6480077018999
Hurley Elem School,41.7003356801999,-87.6112078485
Hyde Park Academy High School,41.7751246565999,-87.6690526443999
Infinity Math  Science & Tech HS,41.8045587817,-87.6244105627
Instituto Health Science Acad HS,41.8459653309,-87.68554722
IJLA Charter High School,41.84542162,-87.6840481342999
Inter-American Elem Magnet School,41.9125048318,-87.6969781149999
,41.6793190033,-87.6179312741
Irving Elem School,41.7868947927999,-87.7327031138
Jackson  A Elem Language Acad,41.7809034371,-87.6921517223999
Jackson  M Elem School,41.8779781522,-87.7663342624999
Jahn Elem School,41.766812719,-87.7195415268
Jamieson Elem School,41.8712553710999,-87.6533288451999
Jefferson  N Elem Alt School,41.8021121562999,-87.6258200563
Jenner Elem Academy of The Arts,41.9392467536999,-87.6758464594
Jensen Elem Scholastic Academy,41.7401830131,-87.6012110333
Johnson Elem School,41.9709485695999,-87.6547952135999
Jones College Prep High School,41.7371464977,-87.5732667996999
Joplin Elem School,41.950753083,-87.6649670813
Jordan Elem Community School,41.8995652977,-87.6819747753
Juarez Community Academy HS,41.7074460748,-87.6030643545
Julian High School,41.6562905593999,-87.5905838017
Jungman Elem School,41.9020539967999,-87.6410922745999
Kanoon Elem Magnet School,42.0096630886,-87.6700221810999
Keller Elem Gifted Magnet School,41.6957331317,-87.7058465475
Kellman Corporate Community Elem,41.9204833931,-87.7582128207999
Kellogg Elem School,41.725271,-87.677275
Kelly High School,41.7537488720999,-87.6016906389999
Kelvyn Park High School,41.7822574257,-87.5865783526
Kennedy High School,41.8187296523,-87.694601984
Kenwood Academy High School,41.9829450848,-87.7223855851
Kershaw Elem School,41.8479132801,-87.6973148116999
Kilmer Elem School,41.7764532854,-87.6408553706999
King College Prep High School,41.981314779,-87.7087445721
Kinzie Elem School,42.0036409951,-87.6681856826999
Kipling Elem School,41.8484872493,-87.7160541026999
Kipp Ascend Elem Charter School,41.8583871238,-87.7212629729999
,41.8824467602999,-87.6277730491
KIPP Charter Create School,41.8922020003999,-87.7472156802
Kozminski Elem Community Academy,41.7236263954999,-87.6395573453999
Lake View High School,41.92794584,-87.7359995221
Lane Technical High School,41.7904824288999,-87.7803947179999
Langford A Elem School,41.955553803,-87.6837285462
Lara Elem Academy,41.8668750427999,-87.6285782988999
Lasalle Elem Language Academy,41.7979744380999,-87.6024809819
LaSalle II Lang Acad Elem School,41.9504605058999,-87.7306783758999
Lavizzo Elem School,41.7990469659999,-87.7588917358999
Lawndale Elem Community Academy,41.7192645080999,-87.6524996522
Learn Elem Charter School,41.7333296560999,-87.5444418175
,41.8875163594999,-87.702165851
Learn Elem Charter School,41.8672735103999,-87.7106427835
Learn Elem Charter School,41.877861125,-87.6987020079999
Learn Elem Charter School,41.8749403599,-87.6862898820999
Learn Elem Charter School,41.7430943318999,-87.6657204355
,41.7935651919,-87.6414185840999
Lee Elem School,41.7423510082,-87.7095730455999
Legacy Elem Charter School,41.8569071431,-87.7304697444999
Legal Prep Academy Charter HS,41.8818929926,-87.7338528673
Leland Elem School,41.7488956623,-87.6347512637999
Lenart Elem Regional Gifted Ctr,41.6810320403,-87.6469574422
Lewis Elem School,41.913900173,-87.6375281346
